VERISK ANALYTICS INC,"Great company!",5.0,5.0,5.0,4.0,4.0,4.0,Jersey City  NJ, Senior Business Analyst,Current Employee ,2017-04-29,,Medical coverage is too expensive,Good benefits  Good work and life balance  option to work from home  bonus  yearly raises. PTO generous.,None,1,1,0,http://glassdoor.com/Reviews/Verisk-Analytics-Reviews-E140233.htm,
﻿VERISK ANALYTICS INC,"Analyst",4.0,5.0,4.0,3.0,3.0,4.0,San Francisco  CA, Analyst,Current Employee ,2017-04-17,More than a year,Not a lot of work to be done. Not much opportunity to advance because it's such a small branch within a large branch in the SF office.,Real good work/life balance. No heavy hours  bosses listen to you.,None,None,None,0,http://glassdoor.com/Reviews/Verisk-Analytics-Reviews-E140233.htm,
﻿VERISK ANALYTICS INC,"Flexible work-life Balance",4.0,5.0,5.0,3.0,4.0,4.0,Jersey City  NJ, Senior Business Analyst,Current Employee ,2017-04-05,More than 3 years,There are never ending organizational changes.,Work from home option is important,None,1,0,0,http://glassdoor.com/Reviews/Verisk-Analytics-Reviews-E140233.htm,
﻿VERISK ANALYTICS INC,"Business Analyst",3.0,4.0,3.0,3.0,3.0,2.0,Jersey City  NJ, Anonymous Employee,Former Employee ,2017-04-10,More than a year,- Low salary as compared to industry standards and there is no transparency in deciding the compensation.- Untrained managers don't know to get things done and as a result micro-manage their direct reports.- There is no challenging the status quo. Many systems require remodeling and rethinking how business is being done  but new ideas are not encouraged.,The team dynamics was really good. All teammates worked towards achieving the department and company goals. Work environment was relaxed.,- New managers need to be trained on how to work with employees.- Increase salary for most of the employees as it acts as a form of motivation.- Explain paths for employee growth.,None,1,2,http://glassdoor.com/Reviews/Verisk-Analytics-Reviews-E140233.htm,
﻿VERISK ANALYTICS INC,"Comfortable Place to work",4.0,3.0,4.0,3.0,4.0,5.0,Chicago  IL, Software Development Manager,Current Employee ,2017-03-21,More than 10 years,afraid to spend money and time on necessary infrastructure,Secure employment  good bonus program,spend money and time on necessary infrastructure,1,1,1,http://glassdoor.com/Reviews/Verisk-Analytics-Reviews-E140233.htm,
﻿VERISK ANALYTICS INC,"Socially like being in High School -- pettiness",2.0,4.0,2.0,3.0,3.0,5.0,Jersey City  NJ, Analyst,Former Employee ,2017-03-26,Less than a year,None,Excellent company overall  great training  upbeat corporate culture overall,Managers need to become more aware of office subculture within their teams  created by team leaders who may be good workers but poor supervisors/trainers.,None,-1,3,http://glassdoor.com/Reviews/Verisk-Analytics-Reviews-E140233.htm,
﻿VERISK ANALYTICS INC,"SVP Business Development and Alliances",4.0,4.0,4.0,4.0,4.0,4.0,Salt Lake City  UT, Senior Vice President,Former Employee ,2017-03-02,More than 5 years,Technology debt and lack of integration,Great people to work with,None,1,0,0,http://glassdoor.com/Reviews/Verisk-Analytics-Reviews-E140233.htm,
﻿VERISK ANALYTICS INC,"Business is doing very well. Verisk is acquiring companies at an unprecedented rate. The future is undoubtedly bright!",3.0,5.0,5.0,2.0,3.0,3.0,Jersey City  NJ, Marketing,Current Employee ,2017-03-09,More than 3 years,None,None,There are some lifers at the organization that have zero experience with business practices outside of Verisk. Not sure how to fix that...but good ideas are often lost to "we've always done it this way" mentality.Business units need to be more cohesive when working with one another. I witness too much 'us vs. them' when working on projects.,1,1,2,http://glassdoor.com/Reviews/Verisk-Analytics-Reviews-E140233.htm,
﻿VERISK ANALYTICS INC,"Good for some",4.0,5.0,4.0,3.0,3.0,4.0,Jersey City  NJ, Actuarial Associate,Current Employee ,2017-02-22,More than 5 years,Legacy issues is some business areas,Work life balance is excellent,None,1,1,1,http://glassdoor.com/Reviews/Verisk-Analytics-Reviews-E140233.htm,
﻿VERISK ANALYTICS INC,"Anonymous",3.0,3.0,3.0,3.0,3.0,2.0,Jersey City  NJ, Anonymous,Current Employee ,2017-03-08,More than 3 years,Management disconnected from the workforce. Pay could be better.,Great and talented people  challenging work.,Invest in employees instead of acquisitions.,1,0,0,http://glassdoor.com/Reviews/Verisk-Analytics-Reviews-E140233.htm,
﻿VERISK ANALYTICS INC,"Could have been a dream employer",3.0,4.0,5.0,3.0,1.0,4.0,Jersey City  NJ, Current Employee,Current Employee ,2017-01-09,More than a year,Very low base salary  low bonus plan that doesn't actually reward performance because there's a forced curve  incompetent  disorganized HR people who don't understand the business and who don't know the difference between a dud and a high potential candidate.,Workplace is filled with bright  humble  passionate and friendly employees. Company has great work life balance benefits and plenty of opportunities to do your part to make the world a better place.,If you want high quality employees who will stick around for more than 18 months and who will be happy about it  pay market  pay competitively and...STOP promoting and rewarding the dead weight in the department just because you don't have the guts to fire them. If you want to hire like Google and Facebook  start by hiring real recruiters.,None,1,8,http://glassdoor.com/Reviews/Verisk-Analytics-Reviews-E140233_P2.htm,
﻿VERISK ANALYTICS INC,"Implementation and Project Manager",3.0,2.0,2.0,1.0,5.0,1.0,Minneapolis  MN, Implementation Manager,Current Employee ,2017-01-16,More than 3 years,There are Leadership challenges. There are three in charge that have no concept of leading or promoting team work.,The Benefits are the best I have seen,Restructure the Verisk Retail facility,None,0,2,http://glassdoor.com/Reviews/Verisk-Analytics-Reviews-E140233_P2.htm,
﻿VERISK ANALYTICS INC,"Verisk Retail",2.0,3.0,2.0,1.0,5.0,2.0,Bloomington  MN, Developer,Former Employee ,2017-01-09,More than a year,None,Because Verisk Retail is owned by Verisk Analytics in JC  the benefits are quite good  so if that's your main focus then you're set. Most of the people were very nice and I enjoyed working with and around them very much.,Trust your employees and let them do the jobs they were hired for.,None,-1,0,http://glassdoor.com/Reviews/Verisk-Analytics-Reviews-E140233_P2.htm,
﻿VERISK ANALYTICS INC,"Database Specialist",4.0,5.0,5.0,3.0,2.0,3.0,Jersey City  NJ, Anonymous Employee,Current Employee ,2016-11-27,More than 5 years,They hire at a good point salary-wise but in order to remain competitive it's necessary to move around. Quite low bonus/raise structure. Even when receiving a promotion  you will get a bit shafted.,The company is extremely successful and offers a lot of great benefits  such as education reimbursement  employee stock options and 401Ks etc.,Value the employees you have now  they'll leave soon otherwise!,1,None,1,http://glassdoor.com/Reviews/Verisk-Analytics-Reviews-E140233_P2.htm,
